Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
14282,S408PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12224
14283,S408AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12224
14284,S408AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12224
14285,S408BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12224
14286,S408MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12224
14287,S408PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12224
14288,S408RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12224
14289,S408VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12224
14290,S409PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12216
14291,S409AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12216
14292,S409AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12216
14293,S409BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12216
14294,S409MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12216
14295,S409PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12216
14296,S409RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12216
14297,S409VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12216
14298,S428PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12167
14299,S428AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12167
14300,S428AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12167
14301,S428BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12167
14302,S428MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12167
14303,S428PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12167
14304,S428RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12167
14305,S428VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12167
14306,S429PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,10534
14307,S429AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,10534
14308,S429AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,10534
14309,S429BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,10534
14310,S429MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,10534
14311,S429PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,10534
14312,S429RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,10534
14313,S429VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,10534
14356,S412C-PA,Led Amarillo - Pasta Amarilla ,true,instock,no,503,product-variant,12170
14358,S412C-AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12170
14360,S412C-AZ,Led Azul - Pasta Transparente ,true,instock,no,1126,product-variant,12170
14362,S412C-BL,Led Blanco - Pasta Transparente ,true,instock,no,128,product-variant,12170
14364,S412C-MO,Led Morado - Pasta Transparente ,true,instock,no,349,product-variant,12170
14366,S412C-PR,Led Rojo - Pasta Roja ,true,instock,no,834,product-variant,12170
14368,S412C-RJ,Led Rojo - Pasta Transparente ,true,instock,no,25,product-variant,12170
14370,S412C-VE,Led Verde - Pasta Transparente ,true,instock,no,279,product-variant,12170
14371,S422PA,Led Amarillo - Pasta Amarilla ,true,instock,no,100,product-variant,12182
14372,S422AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12182
14373,S422AZ,Led Azul - Pasta Transparente ,true,instock,no,100,product-variant,12182
14374,S422BL,Led Blanco - Pasta Transparente ,true,instock,no,21,product-variant,12182
14375,S422MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12182
14376,S422PR,Led Rojo - Pasta Roja ,true,instock,no,3,product-variant,12182
14377,S422RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12182
14378,S422VE,Led Verde - Pasta Transparente ,true,instock,no,132,product-variant,12182
14397,R900A-PA,Led Amarillo - Pasta Amarilla ,true,instock,no,104,product-variant,12037
14398,R900A-AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12037
14399,R900A-AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12037
14400,R900A-BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12037
14401,R900A-MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12037
14402,R900A-PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12037
14403,R900A-RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12037
14404,R900A-VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12037
14408,R902PA,Led Amarillo - Pasta Amarilla ,true,instock,no,1496,product-variant,12019
14410,R902AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12019
14412,R902AZ,Led Azul - Pasta Transparente ,true,instock,no,309,product-variant,12019
14414,R902BL,Led Blanco - Pasta Transparente ,true,instock,no,188,product-variant,12019
14416,R902MO,Led Morado - Pasta Transparente ,true,instock,no,227,product-variant,12019
14418,R902PR,Led Rojo - Pasta Roja ,true,instock,no,991,product-variant,12019
14420,R902RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12019
14422,R902VE,Led Verde - Pasta Transparente ,true,instock,no,78,product-variant,12019
14447,R914PA,Led Amarillo - Pasta Amarilla ,true,instock,no,1235,product-variant,12813
14448,R914AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12813
14449,R914AZ,Led Azul - Pasta Transparente ,true,instock,no,242,product-variant,12813
14450,R914BL,Led Blanco - Pasta Transparente ,true,instock,no,128,product-variant,12813
